Channel 1 (V),Channel 2 (V),Math 1 (mA)
-4.971115957032084,-0.0019779385992242382,-0.0089906299964738097
-4.9748155500764426,-0.0019779385992242382,-0.0089906299964738097
-4.9748155500764444,-0.0019779385992242382,-0.0089906299964738097
-4.9785151431208012,-0.0019779385992242382,-0.0089906299964738097
-4.982214736165159,-0.0023128619462676747,-0.01051300884667125
-4.9859143292095176,-0.0019779385992242382,-0.0089906299964738097
-4.9859143292095194,-0.0019779385992243904,-0.0089906299964745019
-4.9896139222538762,-0.0023128619462676747,-0.01051300884667125
-4.9896139222538762,-0.0019779385992242382,-0.0089906299964738097
-4.9896139222538762,-0.0019779385992242382,-0.0089906299964738097
-4.9933135152982349,-0.0019779385992242382,-0.0089906299964738097
-4.9933135152982349,-0.0019779385992242382,-0.0089906299964738097
-4.9933135152982349,-0.0019779385992242382,-0.0089906299964738097
-4.9896139222538762,-0.0019779385992242382,-0.0089906299964738097
-4.9859143292095176,-0.0019779385992243904,-0.0089906299964745019
-4.9859143292095176,-0.0023128619462676747,-0.01051300884667125
-4.982214736165159,-0.0019779385992242382,-0.0089906299964738097
-4.9785151431208012,-0.0019779385992242382,-0.0089906299964738097
-4.9748155500764426,-0.0023128619462676747,-0.01051300884667125
-4.9748155500764426,-0.0019779385992242382,-0.0089906299964738097
