Frequency,vm(vout),vm(vin)
Hz,Volts,Volts
204.1737945,6.147901221,10
208.9296131,6.05972089,10
213.796209,5.971333959,10
218.7761624,5.88280499,10
223.8721139,5.794198002,10
229.0867653,5.705576281,10
234.4228815,5.617002196,10
239.8832919,5.52853702,10
245.4708916,5.440240773,10
251.1886432,5.352172066,10
257.0395783,5.264387961,10
263.0267992,5.176943846,10
269.1534804,5.089893322,10
275.4228703,5.003288096,10
281.8382931,4.917177898,10
288.4031503,4.831610404,10
295.1209227,4.746631172,10
301.995172,4.662283595,10
309.0295433,4.578608861,10
316.227766,4.495645924,10
323.5936569,4.413431496,10
331.1311215,4.332000033,10
338.8441561,4.251383748,10
346.7368505,4.171612618,10
354.8133892,4.092714412,10
363.0780548,4.014714718,10
371.5352291,3.937636982,10
380.1893963,3.861502551,10
389.045145,3.78633072,10
398.1071706,3.71213879,10
407.3802778,3.638942124,10
416.8693835,3.566754208,10
426.5795188,3.495586719,10
436.5158322,3.425449589,10
446.6835922,3.356351076,10
457.0881896,3.288297835,10
467.7351413,3.221294987,10
478.6300923,3.155346196,10
489.7788194,3.090453733,10
501.1872336,3.026618558,10
512.861384,2.96384038,10
524.8074602,2.902117737,10
537.0317964,2.841448059,10
549.5408739,2.781827736,10
562.3413252,2.723252188,10
575.4399373,2.665715927,10
588.8436554,2.609212617,10
602.5595861,2.553735139,10
616.5950019,2.499275646,10
630.9573445,2.445825623,10
645.654229,2.393375935,10
660.693448,2.341916886,10
676.0829754,2.291438265,10
691.8309709,2.241929392,10
707.9457844,2.193379167,10
724.4359601,2.14577611,10
741.3102413,2.099108403,10
758.577575,2.053363929,10
776.2471166,2.008530307,10
794.3282347,1.96459493,10
812.8305162,1.921544993,10
831.7637711,1.879367528,10
851.1380382,1.838049429,10
870.96359,1.797577482,10
891.2509381,1.757938389,10
912.0108394,1.71911879,10
933.2543008,1.68110529,10
954.992586,1.643884473,10
977.237221,1.607442926,10
1000,1.571767255,10
1023.292992,1.5368441,10
1047.128548,1.502660153,10
1071.519305,1.469202168,10
1096.478196,1.43645698,10
1122.018454,1.404411508,10
1148.153621,1.373052773,10
1174.897555,1.342367905,10
1202.264435,1.312344152,10
1230.268771,1.282968888,10
1258.925412,1.25422962,10
1288.249552,1.226113994,10
1318.256739,1.198609804,10
1348.962883,1.171704991,10
1380.384265,1.145387653,10
1412.537545,1.119646048,10
1445.439771,1.094468594,10
1479.108388,1.069843877,10
1513.561248,1.045760648,10
1548.816619,1.02220783,10
1584.893192,0.999174516,10
1621.810097,0.976649971,10
1659.586907,0.954623636,10
1698.243652,0.933085124,10
1737.800829,0.912024222,10
1778.27941,0.891430893,10
1819.700859,0.871295272,10
1862.087137,0.85160767,10
1905.460718,0.832358569,10
1949.8446,0.813538623,10
1995.262315,0.79513866,10
2041.737945,0.777149674,10
2089.296131,0.75956283,10
2137.96209,0.742369458,10
2187.761624,0.725561057,10
2238.721139,0.709129285,10
2290.867653,0.693065966,10
2344.228815,0.677363081,10
2398.832919,0.662012773,10
2454.708916,0.647007336,10
2511.886432,0.632339223,10
2570.395783,0.618001037,10
2630.267992,0.603985529,10
2691.534804,0.5902856,10
2754.228703,0.576894296,10
2818.382931,0.563804806,10
2884.031503,0.551010459,10
2951.209227,0.538504724,10
3019.95172,0.526281205,10
3090.295433,0.514333641,10
3162.27766,0.502655903,10
3235.936569,0.491241989,10
3311.311215,0.480086029,10
3388.441561,0.469182272,10
3467.368505,0.458525095,10
3548.133892,0.448108991,10
3630.780548,0.437928575,10
3715.352291,0.427978574,10
3801.893963,0.418253833,10
3890.45145,0.408749305,10
3981.071706,0.399460054,10
4073.802778,0.390381252,10
4168.693835,0.381508174,10
4265.795188,0.372836199,10
4365.158322,0.364360809,10
4466.835922,0.356077583,10
4570.881896,0.347982197,10
4677.351413,0.340070422,10
4786.300923,0.332338123,10
4897.788194,0.324781256,10
5011.872336,0.317395867,10
5128.61384,0.310178087,10
5248.074602,0.303124134,10
5370.317964,0.296230312,10
5495.408739,0.289493004,10
5623.413252,0.282908674,10
5754.399373,0.276473866,10
5888.436554,0.2701852,10
6025.595861,0.264039372,10
6165.950019,0.25803315,10
6309.573445,0.252163377,10
6456.54229,0.246426964,10
6606.93448,0.240820892,10
6760.829754,0.235342211,10
6918.309709,0.229988035,10
7079.457844,0.224755543,10
7244.359601,0.219641979,10
7413.102413,0.214644648,10
7585.77575,0.209760914,10
7762.471166,0.204988202,10
7943.282347,0.200323995,10
8128.305162,0.195765833,10
8317.637711,0.191311308,10
8511.380382,0.186958071,10
8709.6359,0.182703823,10
8912.509381,0.178546317,10
9120.108394,0.174483359,10
9332.543008,0.170512801,10
9549.92586,0.166632546,10
9772.37221,0.162840543,10
10000,0.15913479,10
